tweet_id,customer_message,response
2210660,"@AppleSupport had iPhone for 1yr, now battery drains itself overnight when it’s apparently doing nothing. I can’t go out without a power pack to recharge. I’ve turned off all updating, location, everything and it’s dreadful. What should I do???","@622699 We understand how important your battery life is, and we're here to help! To get started, send us a DM with your iPhone's current iOS version. We'll take a closer look at the issue together there. https://t.co/GDrqU22YpT"
820684,"Hey there @AppleSupport how can I share a home video?
Since it’s a home video Why there’s no sharing option here? https://t.co/4zayb9cYdh",@261509 Is this related to the convo we were having in DM a couple days ago? Did the guide we sent out not work for you? Just let us know!
925563,@AppleSupport ผมใช้ i6+ อัพ iOS ใหม่ ๆ แล้วไม่ประทับใจ แบตหมดไว เครื่องเพลงรวนเวลาถอดหูฟัง อยากกลับไปใช่ iOS ตัวเดิมเมื่อแรกซื้อได้ไหม,@381775 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
2841989,@AppleSupport y’all fix iPhone 7plus cameras that don’t work? (the cameras black front and back &amp; tried everything y’all said on the website) and if so how much $$ are we talking,@790746 We don't want you to be left without your camera! Let's chat in Direct Message. We'll get the details of your iPhone and see what needs to be done. https://t.co/GDrqU22YpT
2010292,@AppleSupport my iPhone sucks now after the update and i can’t do anything what happened????????????,@594446 We've got your back. Share with us in DM more info that's going on with your iPhone so we can start looking into this with you. https://t.co/GDrqU22YpT
667816,"@AppleSupport From past many days, i am getting blur and exclamation mark on all pics. Also i am unable to share these because of this issue. Kindly help! https://t.co/fJezigQYRx",@279187 We'd be happy to help. Send us a DM and we can start there. https://t.co/GDrqU22YpT
308933,@AppleSupport can you please direct me to a forum or link w/ how to properly replace your Podcast artwork from SoundCloud to iTunes Podcasts,@189766 We'd like to know more about your issue. Could you join us in DM with more details? https://t.co/GDrqU22YpT
1581412,"Dear @115858,

If I️ wanted Android problems I’ll go get one. 🙄 

This ? mark is blowing me",@486831 This article can help with this issue: https://t.co/xU1AGHStV6 Please DM us if the issue continues. https://t.co/GDrqU22YpT
1900859,"@AppleSupport Ok, but let’s not pretend I’m the only one with this issue.",@414332 We're all here to help. Let's start with its model and if it has iOS 11.0.3 installed. Any steps tried? Please DM us here: https://t.co/GDrqU22YpT
2278626,"@AppleSupport I never received an email about recovering account &amp; apple id, locked out,need proof of ownership for missing mac mini help!",@662530 We'd like to help. Have you tried to check the status of your recovery: https://t.co/nXAGZj0EE7
181400,how is it that I’ve never had a phone work properly from @115858,@158613 You've come to the right place today! What seems to be the issue? We're happy to help.
2079298,Ever since I updated my phone apps aren’t working. Keyboard lags. My lock screen isn’t showing the time. 6 restarts. Good job @115858,"@614952 We'd like to know more about the trouble you're having, it's not the experience we want you to have. Let's chat in DM. https://t.co/GDrqU22YpT"
2691830,I have never disliked Apple as much as I do right now The latest update has messed up my personalized ringtone how sensitive (delayed)my screen is my battery life etc. etc. @115858 I hope they have a fixed coming soon #iphone #Apple #Sad 😠,@756686 We want to help. How long ago did you complete the latest update? Let us know in DM. https://t.co/GDrqU22YpT
35986,@AppleSupport I am an iPhone user n I like  apple earphones the most but one of ear plug is not working. bought my i phone in May2016. I am in canada,"@753080 We can help you with some options. Did these EarPods come with your iPhone? Also, have you tested them with another device?"
1513419,@AppleSupport I ORDERED IPHONE X TO BE DELIVERED TO MY HOUSE AND THEY SAY I CANT PAY WITH GIFT CARDS OR TO TRADE MY IPHONE 7 IM REPLACING,@471177 That's a question best suited for our Sales team. You can reach out to them here: https://t.co/8yjRd1Xo0i
448350,Bruh if  my phone keep losing battery while plugged in I’m squaring up @AppleSupport,@221214 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT
1674780,@115858 you gonna fix this dumb shit https://t.co/JwVtStMWpO,@509571 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
1442834,"Updated my phone to latest IOS, worst mistake I’ve made to date. phone running super slow &amp; keeps crashing. #Avoid #Worst  @AppleSupport",@454779 That's not what we want you to experience. Does this happen with all apps or just one specifically?
2306698,so now the iPhone glitch is showing up for lower case i or even words like it. WTF @AppleSupport,"@669179 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6"
1147915,@AppleSupport socorro!!! Não aguento mais comprar celular poxa. Da uma ajuda aí!!!,"@390151 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt"
848285,@115858 iPhone upgrade made my touchid stop working what’s the fix???,@321595 Let's work together. Touch ID is a great feature we enjoy using. Can you provide us which iOS version is on your device?
2047831,"@AppleSupport can you please sort out the new iOS! Absolutely draining my battery, which previously was lasting all day! So! Frustrating!","@605616 Battery life is important, and we're here for you. To get started, DM us the device you're experiencing this on. https://t.co/GDrqU22YpT"
2970282,"@819295 Dude, my iPhone 6 has been acting terrible since the new update. Apps just freeze all the time and I have to restart it. @115858",@819294 We know essential it is to be able to rely on your iPhone. We'd love to help. Is the iPhone freezing when using specific apps or performing certain functions? Can you DM us the exact version of iOS you are running? https://t.co/GDrqU22YpT
2093872,@115858 fix this I️ please and thank you,@618686 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/G4q0hxzVXF
2736403,@115858 . I am Facing many problems using #FaceID . Not really impressed,@766816 Send us a DM and tell us more about what's going on with Face ID. We'll get started there. https://t.co/GDrqU22YpT
1895540,"@AppleSupport My phone keeps freezing, my alarm is going off without sound and my speaker phone doesn’t work since I’ve done iOS 11 update","@564990 We want to help. Please let us know in DM the exact software version you're using on your iPhone, and we'll look into this. https://t.co/GDrqU22YpT"
1300741,"Thanks for the new update @115858 now my finger print won’t work. Then again what does, let’s not forget the Terrible user interface.",@424006 We're here to help. What exactly is happening when you attempt to use Touch ID? Are you receiving any error messages?
2986069,Really be ready to throw my phone every time that storage full bs pop up cuz I dead deleted everything   @115858 do better,"@823362 Let's work on your storage together. To start, DM us with the country where you're located. https://t.co/GDrqU22YpT"
1734513,@AppleSupport I have never in my life yelled at a girl like this but PLEASE fix your sh*t. This glitch is literally ruining my life,@440936 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
2619750,@115858 @AppleSupport,@740286 We're happy to look into this with you. Join us in DM with your location to get started. https://t.co/GDrqU22YpT
2255434,@AppleSupport any Idea why my #iphone has been transforming my “l “ into a «  ? » and changing characters especially after most recent update ?!🤔,"@656924 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6"
2016534,@115858 there is probably never an instance where you should switch my I’s into question marks.. but thanks,@596339 Thanks for reaching out. We have a workaround for this here: https://t.co/qODbOsp4wz DM us if you still need help. https://t.co/GDrqU22YpT
456111,Hey @AppleSupport my iPhone 6 screen cracked cause it was so cold! Genuinely! Is their anything I can do about this :(,@223286 Hi there. We'd be happy to look into some options for you. DM us and tell us what country you're located in. https://t.co/GDrqU22YpT
1530008,@115890 getting such #fraud #mails on my live account @115858 pls alert your users about it &amp; #Microsoft kindly update your #spam tools https://t.co/IciSjtpGed,"@474853 Great catch! Check out this link, with info on how to report these types of email to Apple:  https://t.co/sayPykspsk"
1437557,Absolutely hate it when you airdrop a bunch of photos &amp; they go all jumbled up 😖 @115858 #whyyoutestingme,@453717 Let's look into this together. How many photos are you sending? What iOS version are you using?
1631447,The music dock on my Lock screen doesn’t work @AppleSupport on iOS 11.0.3. https://t.co/VLGOtAC8sm,"@499290 Let's look into this together. Send us a DM, and we'll continue from there. https://t.co/GDrqU22YpT"
1765144,@AppleSupport Done thank you!,@530939 We have received your DM and will respond there shortly.
2445210,"@AppleSupport 
Order status page in Apple Store app does not working, what’s going on! https://t.co/wFnQsoqW3H",@701056 We're happy to help. Do you have the option to check on a computer? Are you able to connect on your iPhone by using cellular data?
1162116,@AppleSupport  hey i just got the iPhone 7 and my laptop WiFi stops working when it’s near the 7. It never did this with my 6. Any tips,@393426 We'd like to look into this with you. Send us a DM. https://t.co/GDrqU22YpT
2113810,"@AppleSupport I need to please quickly see it on iPhone, not anywhere else","@156915 Using that previous link that we sent over, you can use it to download those on the iPhone. Let us know if you have questions."
1725665,@115858 stop waiting around &amp; fix the “I️” big issue because to programmers who don’t work for you- it’s aggravating &amp; insulting.,@521906 We can help. Please DM us. https://t.co/GDrqU22YpT
1996156,@AppleSupport @115858 can someone please explain why my camera roll videos are buffering? Bit dodge,"@590251 Hey, we want to learn more about what's going on with the videos. Send us a DM and we'll continue there. https://t.co/GDrqU22YpT"
1387684,"Hello @115858 why the shitting fuck does my phone keep capitalising ‘just’? (I had to override it there, see?)",@442875 We'd like to take a look at that with you. Would you join us in DM to get started please? https://t.co/GDrqU22YpT
2812603,@AppleSupport Right now I have 3/4 on LTE,@784256 Perfect. We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there. https://t.co/GDrqU22YpT
291829,If you have an iPhone or any Apple device don't try to upgrade iOS 11 you will be badly surprised and No @AppleSupport https://t.co/AUnPjYGfdO,@185498 We've got your DM and will continue there.
1148834,"Ever since the new @115858 iOS update, siri is useless at setting the timer #wtf #UselessAIassisstant",@390353 We'd like to help. Meet us in DM and we'll take a look at this together. https://t.co/GDrqU22YpT
1596662,@115858 I️ need y’all to fix these glitches with this question mark mess.,@490515 Thanks for reaching out! We'd love to help with this. Try these steps and let us know how it goes: https://t.co/xU1AGHStV6
1445549,@AppleSupport Yes I am,@455440 Let's continue with this in DM. https://t.co/GDrqU22YpT
1002288,@AppleSupport Dear iphone. I would like to help my old friend. She lost her phone but when she found it. The phone was locked. Any help?,@357258 We'd be happy to help.  Is the iPhone locked with an unknown passcode?  Or locked with an iCloud email account that isn't hers?
1559336,@115858 @AppleSupport FIX MY “I️” like rn,"@481877 Thanks for reaching out! We're glad to help, so we've got a guide to share with you regarding this issue: https://t.co/xU1AGHStV6"
2403764,@AppleSupport run this up to your developers on the iPhone X if the phone freezes after but dialing someone at 1AM just eject the SIM car. Cuz holding the damn power button doesn’t do it. The power button can’t do its job now? No it’s a puzzle to try and shut the phone off.,"@691470 Thanks for reaching out, we can help. The section of this article titled, ""If your screen is black or frozen"" has the instructions to resolve this issue: https://t.co/o7nB3pXfMv"
2683675,"@AppleSupport Did already, you did some diagnosing and that was it.",@499214 Let's move over to a DM where we can take a look together. Please meet us there. https://t.co/GDrqU22YpT
960020,@AppleSupport vous avez clairement INTÉRÊT de faire une nouvelle mise à jour pour corriger TOUS les défauts de #OS11 😤😠,@347787 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
1655577,I️ &lt;— @115858 FIX 👏🏻 THIS 👏🏻,@505242 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
31454,"@AppleSupport Thanks! I guess I know the reason why.Wherever u put the assistive touch up,down,middle &amp; when pressed is also where the control center is.",@122938 That is expected for Assitive Touch. The following article provides more information. https://t.co/v2idjufVri https://t.co/GDrqU22YpT
2786436,"Thanks @115858 for downloading bugs into my phone with that shitty update, I really appreciate it","@777937 Reach out to us via DM and fill us in on what exactly is occurring, then we can help out from there. https://t.co/GDrqU22YpT"
2686614,@AppleSupport HEKP ME PLEASEEEEEEEEEEEEE,@257643 We've got your DM and will continue with you there. Be on the lookout for our reply. Thank you!
2678854,@AppleSupport Thanks @AppleSupport since I put the new iOS in my phone every app I have takes a lot of time to start and freezes even Siri doesn’t work 😞,@753805 We'd like to help! Send us a DM with the country that you are located in to continue. https://t.co/GDrqU22YpT
1402236,@AppleSupport y’all are literally the worst my iPhone 7 doesn’t even last 3 hours on battery after the update I didn’t even agree to,@446027 We'd like to help with your battery. What iOS version are you on?
1712022,@AppleSupport I did that already and it’s not a great solution. When can we expect this to be fixed?,@518578 We'd be happy to discuss this with you further in DM. https://t.co/GDrqU22YpT
2947135,"Removed @3715 with help of @AppleSupport
How can it still send me repeated notifications?
#privacy #macOS https://t.co/kAo88va063",@187824 We'd like to see what's going on with your notification. DM us and we'll get started. https://t.co/GDrqU22YpT
40519,@AppleSupport hi so I got an email my account was locked. But I’m pretty sure it was a fake.,@124891 We'd like to take a closer look at this with you. Let's continue our conversation via DM. https://t.co/GDrqU22YpT
1926271,. @AppleSupport CAN YOU PLEASE FIX THE BATTERY PROBLEM? THANKS,@573286 We can help with your battery. Could you Direct Message us and let us know what country you're located in? https://t.co/GDrqU22YpT
868182,@115858 How many updates will it take to fix the problem?My iphone7 is already updated to 11.0.3 and still freezing every time I open my apps,@326134 We'd like to look into this with you. Reach out via DM using the link below. https://t.co/GDrqU22YpT
125009,"@AppleSupport mate, I lost a song that I buy, I don't know how it happen, can I get it back?",@144017 We'd love to help get your purchased song back with these steps: https://t.co/I39AyMJNgb
1772583,@AppleSupport new phone out of box won't update to 11.1... error 3014 comes up in iTunes. Help!,@532760 We want to help out with this. DM us and we'll go from there. https://t.co/GDrqU22YpT
2212895,@115858 needs to get their shit together. Not about to go through Googling a tutorial on how to set up some keyboard shortcut to fix my keyboard. THIS PHONE WAS $800. GET 👏🏻 IT 👏🏻 FIXED 👏🏻,"@646727 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. DM us for any questions. For more info, check out: https://t.co/ui8Itz8ESg https://t.co/GDrqU22YpT"
1840767,@AppleSupport Apple it’s doing it again... https://t.co/HdLvmjA9dG,"@551658 Thanks for reaching out to us. Just to clarify, you're having an issue with your home screen showing properly? Let us know in DM. https://t.co/GDrqU22YpT"
1786967,Really don’t get iPhone batteries. I opened Spotify and lost 4% 🤷🏻‍♂️ wtf @115858,"@536855 Let's take a closer look together. Which iOS version is running on your iPhone? DM us, and we'll see how we can help: https://t.co/GDrqU22YpT"
2592267,@AppleSupport i had to restart my phone but when i tried to configure it from an iCloud backup it just didn’t let me i’m struggling with it bc i don’t have anything of what i have before this btw i rebooted it bc my photos disappeared and storage says it was full bc of the photos,"@734152 Thanks for reaching out. We know how important restoring a backup is. We'd like to know more to help. Were you given an error message when you attempted to restore from iCloud? If so, do you recall the error message at all? Let us know and we'll continue."
1714169,@115858 why do my tweets have weird question mark things. it ruined my comical tweet pls fix this horseshit,@519105 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ
1760190,"@AppleSupport @200272 @AppleSupport can you please make the solution public!? I'm trying to install the update on an iPad I bought today but I can't: ""Unable to Verify Update - iOS 11.1"". I don't know if you can imagine my frustration at this moment 😡",@128416 We know how important it is to be up to date. Let’s try to complete the update again this morning. Let us know if it works.
2286921,"@AppleSupport Just got AppleTV, set it up, got a few free apps. But I am having a problem dealing with which remote to use.  I got a prompt on my iPad to use its keyboard, but it disappeared before I could swipe on it.  Navigating the App store with my TV-set remote is a pain.",@143060 We're here to help. You can use the steps in this link to use your iOS device as a remote for your Apple TV: https://t.co/pywRwr5FIp
284923,"@AppleSupport eventually returns back to normal, time taken varies home button haptic work but phone is totally unresponsive",@183880 Does restarting the phone help at all? https://t.co/OWRDHXa3VP
2122471,"@AppleSupport 

I️ I️ I️ I️ I️ I️ I️ I️ I️",@625287 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
2061527,WHY on earth did I update my phone to iOS11 bc it has ruined my phone 😡😡😡😡 way to go @115858 👏🏻👏🏻👏🏻,@609693 Let’s work together on this situation.  Could you let us know more details via a DM? We’ll keep moving from there. https://t.co/GDrqU22YpT
656279,@AppleSupport wassup man I️ tried to update my MacBook an my shit crashed 🤦🏽‍♂️,@276135 We can help! Let us know what you currently see on screen &amp; we'll go from there.
395523,When is @115858 going to release a fix to the 11.0.2?! My IPhone 6 is really messed up since the update!!! #AppleUpdate @AppleSupport,@209613 We'd like to look into this with you. Send us a DM by clicking on the link below. We'll go from there. https://t.co/GDrqU22YpT
2020527,@115858 why does this happen when you try typing the letter... I️. Fix it!,"@597537 Thanks for reaching out to us. Please check out this link for help with your issue: https://t.co/xU1AGHStV6
Questions? DM us. https://t.co/GDrqU22YpT"
2921498,iOS actually pushed the update to my phone while I was asleep... even after I turned off the f*cking auto updates. WTF @AppleSupport @115858,@808554 We'd be happy to take a look into this with you. Could you please send us a DM so we can gather some information and get started? https://t.co/GDrqU22YpT
300100,@AppleSupport ever since I downloaded ios11 my phones been crashing every two minutes whats the crack???,@187562 We want to help. Send us a DM and we'll go from there. https://t.co/GDrqU2kzhr
2206962,@AppleSupport I have DMd the issue. Its been a mess. The UI is unresponsive in many cases,@645250 We've received your DM and will continue with you there! Be on the lookout for our message. Thank you!
1973777,"@AppleSupport all my pictures are gone, can i get them back?",@584534 We understand how precious your pictures are. Join us in DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT
2364571,"@AppleSupport There is no pattern to it what so ever. Background app refresh is off. the screen is unresponsive a lot of the time, and the response time is shocking when I try to use it. It freezes and slows down ridiculous amounts it’s like it does what I am trying to in slow motion!!","@682681 Got it. To verify, can you tell us the exact iOS version from Settings &gt; General &gt; About?"
14311,Can I un-update my phone so it can stop freezing up and I can stop having to reset it 10 times a day? 🙃@AppleSupport,@119045 Thank you for reaching out to us. Let's take a look at this in DM. https://t.co/GDrqU22YpT
1689411,The fact that I️ is still doing this bullshit @115858 I’m disgusted,@512947 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
2271611,@115948 Get your shit together @AppleSupport,@660884 We'd like to learn more about this. Send us a DM with the details of what you're seeing in Apple Music and we'll continue there. https://t.co/GDrqU22YpT
2945705,"@AppleSupport Hey! Unable to properly use my phone... Says memory is full, but where is it all going as the figures below don't add up?! Thanks! https://t.co/848piWZHJU",@813665 Thanks for reaching out. DM the country or region where you are currently located so we can help you investigate that storage use on your iPhone. https://t.co/GDrqU22YpT
1194036,@AppleSupport I’ve never done it.. I read that I can do a backup and restore my phone but idk,@400565 Let's go ahead and backup then update your iPhone. Here's how: https://t.co/80YRnjDFDk
2734383,"I went to get my iMac fixed at the @115858 store (for the 4th time in a 1 month period) because it was having ongoing issues. They said they could update the OS from Sierra to High Sierra while it was getting fixed. I said yes, and we had an agreement they would do it... [Thread]",@766376 We'd like to help look into this a bit further and help you enjoy your experience. DM us what country or region you're located in. https://t.co/GDrqU22YpT
585979,@AppleSupport Photo,"@258354 Does this happen in other photo modes? Also, is this only happening with the Camera app or are third-party apps experiencing the same issue?"
1358115,My pick up time for my #iPhoneX is 9:00am-9:30am yet the mall and Apple store doesn’t open till 10:00am? 🤔🤔😅 @115858 help?,"@364559 We want to help out. For details about online orders, please contact our Sales support team: https://t.co/l9vC3IRh4z"
1762931,@115858 what’s up with the phones. Yes it’s updated. But every time “I️” put “I️” whatever I️ put it’s some weird stuff that pops up!,@530398 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
2802466,"@AppleSupport , why does “it” autocorrect to “I.T” when I type?",@781755 We can take a look at this with you and make sure your keyboard is working as expected. Could you let us know which iOS version you see in Settings &gt; General &gt; About &gt; Version?
769641,@AppleSupport Thanks. Shows as connected but zero speed on test. Toggle off and on and then fine. Have forgotten network and re-added but prob persists.,"@303767 OK. Can you access web pages through Safari when connected to Wi-FI? Also, what is the exact iOS version you're using?"
1924830,"@AppleSupport No, all green!","@572923 Ok, thank you. Let's take a closer look at this together. Please DM us about this Mail issue and we'll continue there. https://t.co/GDrqU22YpT"
2448410,Yo @AppleSupport I just watched my iPhone battery drop from 50% to 17% in low power mode in 15 minutes. I’m tired of troubleshooting this gdi,"@701810 Battery life is important, and we’d love to see what's causing this. First, what iOS version are you using? Do you see any updates in App Store &gt; Updates? Additionally, do you see “Your iPhone battery may need to be serviced” in Settings &gt; Battery?"
2375314,"Dear @115858 the new update is worse than anything. It’s glitching so much, my screen is freezing , I can’t get good calls , I’ve turned my phone off and on , still nothing . What is going on?",@634669 We want to help. Send us a DM and let us know what iPhone and version of iOS you are running. https://t.co/GDrqU22YpT
1974957,Hey @AppleSupport are you ever going to fix the iOS 11 bugs or am I going to have to restart my phone 3x a day for the rest of my life?,@416873 We want to be sure you get the most out of iOS 11. Send us a DM and let us know what's happening. We want to help you. https://t.co/GDrqU22YpT
1938505,@115858 @AppleSupport what’s going with the latest iOS??,"@576649 Hey there. Please send us details in DM if you're having an issue with iOS, we'd be happy to help out. https://t.co/GDrqU22YpT"
1024306,@AppleSupport 11.0.3,@362405 Hey there. Thanks for getting back to us. Let's meet up in DM and continue the conversation. https://t.co/GDrqU22YpT
1270296,I can’t even type “it” without auto correct changing it to I.T. @115858 fix this shxt bro wtf,@417413 We can definitely look into this with you. Which device are you using? DM us and let us know. https://t.co/GDrqU22YpT
1519138,"@115858 I’m not fucking with y’all, I️ just got my phone not even 6 months ago","@472345 Reach out to us via DM, then we can advise you on this from there. https://t.co/GDrqU22YpT"
436494,"@AppleSupport why does my phone automatically play music when I connect the headphone and I can’t stop it,",@218657 We can definitely look into this with you. Which music app is playing music?
789389,"Dear @AppleSupport, in occasion, mail locks up. Cursor will not move past a word. Can delete word, retype. Nothing else.",@308249 Thanks for reaching out. What device is this issue occurring on?
2207474,Every time I type ‘I’ this pops up. What do I️ do? It’s super annoying. @AppleSupport https://t.co/v8LoumOG3o,"@645389 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6"
