tweet_id,thread_id,customer_message,response,intent,should_escalate,escalation_reason,notes
1344605,1344605.0,"@AppleSupport 2) If I made a mistake in my informaton, will it cancel my reservation or will it give me an opportunity to correct it?","@433560 Thank you for reaching out to us. We'd like to get you in touch with our Sales Support, see this link: https://t.co/8yjRd1Xo0i",purchase_order_support,yes,Reservation support may require transaction-specific verification,Question concerns correcting information on a reservation.
52293,52292.0,@AppleSupport It’s 11.0.3,"@127763 Let's have you update to 11.1 per the following article, then see if the issue continues or not. https://t.co/80YRnjDFDk",other_unclear,yes,Insufficient information to safely determine the problem,Only provides an iOS version with no problem description.
154445,154444.0,@AppleSupport Thank you.,@151393 You'll want to make sure you check with your carrier as well to make sure that there is not a conflict on their end.,other_unclear,no,No active support action is required,Simple thank-you message.
2775982,2775981.0,@AppleSupport Its not on but it keeps happening,@775670 Thanks for checking. Is Night Shift turned on in Settings &gt; Display &amp; Brightness? Does restarting your device have any impact on the issue and what iOS version do you have in Settings &gt; General &gt; About?,other_unclear,yes,Insufficient information to safely determine the problem,Says the issue keeps happening but does not identify what the issue is.
2500867,2500868.0,@713425 @115858 So annoying makes me wanna throw the whole account away.,"@713424 We'd like to help out, because your account is important to us. Try these steps: https://t.co/nXAGZj0EE7 Join us in a DM if you have additional questions. https://t.co/GDrqU22YpT",other_unclear,yes,Insufficient information to safely determine the problem,Mentions throwing away the account without stating the underlying problem.
154422,154423.0,@115858 @AppleSupport,"@151386 When downloading newly purchased apps, the payment method on the account will need to be up-to-date. If you'd like to remove your current billing info, this can help: https://t.co/rnB74M0zio Reach out to our iTunes team for more assistance: https://t.co/SDIe7UiyJN",other_unclear,yes,Insufficient information to safely determine the problem,Only tags AppleSupport and another account.
52293,52292.0,@AppleSupport It’s 11.0.3,"@127763 Let's have you update to 11.1 per the following article, then see if the issue continues or not. https://t.co/80YRnjDFDk",other_unclear,yes,Insufficient information to safely determine the problem,Only provides an iOS version with no problem description.
1655011,1655011.0,Ah yes this seems legit @AppleSupport https://t.co/MlT8MNSfNJ,@313463 It's great that you're cautious. Definitely not an authentic message from Apple. Here's some more info: https://t.co/sayPykspsk,other_unclear,yes,Insufficient information to safely determine the problem,"Appears to question whether something is legitimate, but the underlying issue is unspecified."
1474159,1474158.0,"@AppleSupport Hi, still waiting for help",@462205 Hi there. We can assist you in DM. https://t.co/GDrqU2kzhr,other_unclear,yes,Insufficient information to safely determine the problem,Waiting for help is a support-status issue without enough context to act.
851747,851747.0,"Es solo mi iPhone o qué, desde que se actualizo a iOS 11 no me llegan las notificaciones de whatsapp hasta que abro la app! @AppleSupport",@322324 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,apps_media_issue,no,Standard app troubleshooting can be automated,WhatsApp notifications do not arrive until the app is opened.
325919,325918.0,@AppleSupport Thanks,"@193643 You're welcome and thank you! Let us know if you need anything else, we love to help! We hope you have a great day.",other_unclear,no,No active support action is required,Simple acknowledgment.
611239,611239.0,@AppleSupport why do you have to add a card to be able to download FREE apps and update them?,"@265326 Let us help you get this sorted out. When you access your payment info, does it give you the option to select ""None""? Follow the steps here to check that, and adjust if needed: https://t.co/rnB74M0zio  DM us if you are not successful: https://t.co/GDrqU22YpT",purchase_order_support,yes,Payment or store-policy questions may require transaction-specific context,Asks about using an Apple Store gift card to pay for AppleCare+.
842542,842538.0,@AppleSupport Yes I’m up to date with the software. Still as slow as a tortoise and yes agree battery life is now shocking !!,@320395 We'd like to gather a bit more info to look into this. DM us your country to continue. https://t.co/GDrqU22YpT,performance_freezing,no,Standard performance troubleshooting can be automated,"Primary complaint is severe slowness, with battery drain mentioned as a secondary symptom."
52293,52292.0,@AppleSupport It’s 11.0.3,"@127763 Let's have you update to 11.1 per the following article, then see if the issue continues or not. https://t.co/80YRnjDFDk",other_unclear,yes,Insufficient information to safely determine the problem,Only provides an iOS version with no problem description.
2139903,2139904.0,@115858 FIX THIS UPDATE CANT EVEN USE THE LETTER AFTER H BY ITSELF BECAUSE IT WONT SHOW WHAT IS THIS,@629328 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,display_touch_issue,no,Standard keyboard or text-input troubleshooting can be automated,The missing-letter I bug is a text-input/keyboard problem.
691385,691385.0,"E a atualização pra não consumir tanta bateria, @AppleSupport ? 😫#iOS1102 https://t.co/YkaHYJKJEk","@285206 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",battery_issue,no,Standard battery troubleshooting can be automated,Customer explicitly asks about reducing battery consumption after an update.
1222659,1222659.0,@AppleSupport FIX THE BATTERY LIFE. NOW,"@406898 We can partner to work towards a resolution. DM some details on what you’re noticing with battery life, &amp; the device you’re using. https://t.co/GDrqU22YpT",battery_issue,no,Standard battery troubleshooting can be automated,Battery life is the sole and explicit complaint.
31931,31931.0,@AppleSupport Can I pay for  Care + online with an Apple Store gift card or do I have go into the store?,@123059 We'll get you pointed in the right direction. Please DM us so we can go over all options. https://t.co/GDrqU22YpT,purchase_order_support,yes,Purchase/payment support may require transaction-specific information,Question concerns paying for AppleCare+ with an Apple Store gift card.
370153,370154.0,@115858 fix this problem with the ? And #,"@203664 We're here to help. Send us a DM with the device and iOS version we're working with today, and we'll get started. https://t.co/GDrqU22YpT",display_touch_issue,no,Standard keyboard or text-input troubleshooting can be automated,Punctuation characters are part of the recurring keyboard/input bug.
701711,701711.0,@AppleSupport the battery life on my iPhone 7 is so terrible since the latest update. It went from being great to awful in a few weeks time. If my only redress is to get a new phone it won’t be another #apple #iphone.,@287534 We'd be happy to look into this with you. Send us a DM letting us know your iOS version. We'll go from there. https://t.co/GDrqU22YpT,battery_issue,no,Standard battery troubleshooting can be automated,Battery life became significantly worse after the latest update.
460849,460849.0,@115858 fix this!!!! I️ I️ I️,@224483 Thanks for reaching out. We'd like to know more to assist. Which software version are you having this issue on? Let us know and we'll continue.,display_touch_issue,no,Standard keyboard or text-input troubleshooting can be automated,Recurring I-character input bug.
1178392,1178392.0,iOS 11 WiFi connectivity is ridiculously buggy. I keep having to disable WiFi. @applesupport (FYI this is widespread),@167317 We know how essential Wi-Fi is to downloading apps and surfing the web. Can you DM us the exact version of iOS 11 you are running? https://t.co/GDrqU22YpT,network_connectivity,no,Standard connectivity troubleshooting can be automated,Wi-Fi connectivity is the explicit problem.
801740,801740.0,Mein Handy und iPad spinnen zurzeit total... Liegt das am Update? Was los? @115858,@311042 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,ios_update_issue,no,Common update troubleshooting can be automated,Customer asks whether the broad problems are caused by the update.
2631,2630.0,"@AppleSupport iPhone 7+, iOS 11.1","@116338 Thank you very much! Send us a DM to let us know if your speaker doesn't work on calls, or if other apps are affected as well. https://t.co/GDrqU22YpT",other_unclear,yes,Insufficient information to safely determine the problem,Only provides the device model and iOS version.
2010391,2010391.0,@AppleSupport Are you guys doing anything for the iOS 11 battery drainage?,"@594479 We know your battery life is important. We want to help. DM us, and we can look into getting it lasting as long as possible. https://t.co/GDrqU22YpT",battery_issue,no,Standard battery troubleshooting can be automated,iOS 11 battery drainage is the explicit complaint.
310239,310238.0,@AppleSupport My iPhone 6s,@190079 Can you tell us the specific iOS version you are currently using please?,other_unclear,yes,Insufficient information to safely determine the problem,Only identifies an iPhone model.
2112819,2112819.0,@115858 do you need a good developer or tester? Your website registration site fails to create an account after choosing a username which was okay. PFA https://t.co/NlDJvin5Xs,@623038 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,other_unclear,yes,Account creation on a website is outside the defined intents and needs clarification,"Website registration fails, but the taxonomy has no dedicated web-account intent."
1593318,1593318.0,I️ think @115858 should fix this stupid bug,"@489688 If you're using iOS 11, this workaround may help until it's resolved in a future update: https://t.co/gKAEL4wRnw",other_unclear,yes,Insufficient information to safely determine the problem,Calls something a bug without identifying what is malfunctioning.
1595007,1595007.0,why is my phones keyboard being weird. it looks like this why why helppp @115858 @AppleSupport https://t.co/0UOfrLx9r5,@490097 Let's get this figured out. We have some helpful steps here you can do as a workaround: https://t.co/sDSg93LaFu,display_touch_issue,no,Standard keyboard or text-input troubleshooting can be automated,Customer explicitly reports a strange keyboard behavior.
290531,290531.0,@AppleSupport @115858  saben si existe algún problema en la carga de batería del celular ?? No he podido cargarlo,@185190 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,charging_issue,no,Standard charging troubleshooting can be automated,Customer cannot charge the phone.
595829,595829.0,"Yesterday I lost the ability to use my iPhone due to a software glitch causing constant soft reset.I am sorry to say,but software issues seems more frequent with @115858 these days and its very frustrating.@116333 focus on robust software &amp; hardware integration like things were",@261192 We would like to get more information from you to see how we can help. Meet us in DM letting us know which device you are using and which iOS version is installed. https://t.co/GDrqU22YpT,restart_boot_issue,yes,Repeated soft resets may require deeper device troubleshooting,Phone repeatedly soft-resets and became unusable.
1810182,1810182.0,"@116333 in the mail app, is there a way for me to easily see which email address associated with my contact was the recipient of the mail?",@543829 We'd be glad to see how we can make this easier for you. DM us which device and OS you're using Mail with and we can begin. https://t.co/GDrqU22YpT,how_to_feature_question,no,Informational feature questions are suitable for automation,Asks whether the Mail app can show which contact email address received a message.
1675528,1675528.0,Uhmmmm wtf is this I️ @115858 !,@509764 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,other_unclear,yes,Insufficient information to safely determine the problem,Vague reaction without a specific support request.
255562,255563.0,@AppleSupport Great thanks,@176777 You're welcome. Feel free to reach out to us again in the future.,other_unclear,no,No active support action is required,Positive acknowledgment with no remaining issue.
850427,850435.0,@AppleSupport help !!!!!!!!!,@322044 We'd be happy to help with any issues you may be experiencing. Can you provide us what's going on?,other_unclear,yes,Insufficient information to safely determine the problem,Generic request for help with no described problem.
2688192,2688192.0,@115858 it's annoying! because of your too damn many updates I can't use my damn phone accurately! Glitches galore! I'm not paying for you to,"@755857 We're happy to help out. What do you mean by it's glitching specifically? Also, which exact iOS version do you have installed and which model iPhone is impacted? You can check your version under Settings &gt; General &gt; About.",ios_update_issue,no,Common update troubleshooting can be automated,Customer broadly attributes multiple glitches to frequent updates.
2375252,2375252.0,@AppleSupport having severe battery drain w iPhone6 after 11.1.1 update even when phone barely in use. Pls fix.,@685153 You're in the right place for help with your battery life. Send us a DM using the link below and we'll see what we can do to assist with this issue. https://t.co/GDrqU22YpT,other_unclear,yes,Insufficient information to safely determine the problem,Customer says it is ruined but provides no actual issue.
786393,786394.0,"@AppleSupport Done. Sort it ASAP please, it’s absolutely ruined my phone and it’s the only method of communication I have! 😡",@307600 We've gotten your DM and will continue working with you there. Keep an eye out for our reply.,restart_boot_issue,no,Standard restart troubleshooting can be automated,Explicitly asks about frequent phone restarts.
553539,553539.0,@AppleSupport What’s up with my phone restarting every few minutes?,"@249101 We want to help. First, we'd suggest following the steps here to resolve the issue: https://t.co/osZOKKTalm If you need further assistance, let us know in DM.

Please be sure to create a back up of your data prior to updating. Here's how: https://t.co/4f8hwT5to6 https://t.co/GDrqU22YpT",other_unclear,no,No action is required beyond acknowledging the sentiment,Expression of dissatisfaction without an actionable support request.
1927092,1927092.0,I think that @115858 won.. and I think I'm done with apple products #jailbreakisdead,@573508 We don't want it to get to the point where that's an option. Please DM what's happening and we'll work with you on a solution. https://t.co/GDrqU22YpT,display_touch_issue,no,Standard keyboard or text-input troubleshooting can be automated,Recurring I-character keyboard bug.
460849,460849.0,@115858 fix this!!!! I️ I️ I️,@224483 Thanks for reaching out. We'd like to know more to assist. Which software version are you having this issue on? Let us know and we'll continue.,other_unclear,yes,Insufficient information to safely determine the problem,Only identifies MacBook Pro.
2949565,2949567.0,@AppleSupport Macbook Pro,@814563 Do you know which macOS and iTunes versions you're currently using?,apps_media_issue,no,Standard Apple TV/app troubleshooting can be automated,Apple TV controller is not working from Control Center.
1235630,1235630.0,@AppleSupport Why AppleTV controller not work from control center on iOS11?,"@409815 We're glad to look into this with you! First, let us know if this guide helps: https://t.co/hjqaK8plzH",other_unclear,yes,Insufficient information to safely determine the problem,Generic 'fix this' with no identifiable issue.
1649091,1649091.0,@AppleSupport can y’all fix this I️ 🤦🏽‍♀️🤦🏽‍♀️,@503750 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,account_icloud_issue,yes,Device/account access may require additional verification,The message describes an iPhone unlock behavior that could involve device/account access.
585962,585961.0,@AppleSupport Yes definitely! I can unlock my iPhone . When I connect my 📱 it unlocked already !,@258350 Do all the error messages in the screenshot show up at the same time? Please send us a DM. https://t.co/GDrqU22YpT,other_unclear,yes,Insufficient information to safely determine the problem,"Response 'No, it does not' lacks standalone problem context."
43346,43345.0,"@AppleSupport No, it does not.",@125608 Are all your apps updated from the App Store?,other_unclear,yes,Insufficient information to safely determine the problem,'Box bug' does not identify the failing feature.
2524438,2524438.0,@115858 when y’all gonna fix this fucking box bug man,"@718867 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6",ios_update_issue,no,Common update troubleshooting can be automated,Asks whether an update will fix the recurring I-character glitch.
1736102,1736102.0,@AppleSupport will we get a update to fix tis I glitch,@226932 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,ios_update_issue,no,Common update troubleshooting can be automated,Customer says the OS release has made the phone unusable.
1998846,1998847.0,@AppleSupport Dont understand the kind of a OS release to the users which makes the phone completely unusable. #iOS111 testing directly done in prod env,@591015 Let us help troubleshoot your iPhone. Reach out to us in DM with more details about your device and we'll go from there. https://t.co/GDrqU22YpT,ios_update_issue,no,Common update troubleshooting can be automated,Question-mark symptoms are explicitly reported after updating.
1512140,1512140.0,@AppleSupport my phone is updated yet I’m still seeing question marks 🧐,@470963 Shoot us a DM and we'll see what we can do to get this taken care of for you! You can use this link: https://t.co/GDrqU22YpT,other_unclear,yes,Likely hardware/service issue and insufficient information for safe automation,Customer says the phone may be dead and may need repair without giving a specific failure mode.
2467676,2467675.0,@AppleSupport well i think i tried all those things so im affraid the phone is dead and will cost allot to get repaired.,@706059 Let's meet up in DM to work this out. https://t.co/GDrqU22YpT,ios_update_issue,no,Common update troubleshooting can be automated,Multiple settings problems are explicitly linked to iOS 11.0.3.
2202104,2202104.0,"@AppleSupport ever since 11.0.3 my phone reset my settings for airpods, wifi, screen rotation and now eve with turn off its rotating :@",@643966 We'd like to help you with these issues. Let's move over to DM. https://t.co/GDrqU22YpT,restart_boot_issue,no,Standard restart troubleshooting can be automated,iPhone 8 repeatedly restarts.
2729028,2729028.0,@AppleSupport Hi my iphone 8 keeps restarting What shall I do with it???????,@765156 We'd like to help. When did this start happening? What iOS version are you using? What have you tried so far to resolve this?,display_touch_issue,no,Standard keyboard or text-input troubleshooting can be automated,Emoji/Tenor behavior occurs while using text input.
2675421,2675421.0,@AppleSupport I cannot exit emojis without Tenor malfunctioning. The only way to prevent it happening is to type an emoji before leaving🙄🙄🙄 https://t.co/2dD5nOd435,@120122 Thanks for reaching out. Is this only happening when using that 3rd party keyboard?,charging_issue,no,Standard charging troubleshooting can be automated,Phone is empty and will not charge.
2467673,2467672.0,@AppleSupport ow shoot im dutch hard to explain the phone battery is empty and it wont charge,@706059 Got it. Thanks for elaborating! Let's start here: https://t.co/uqxquyfdn0 Let us know the outcome.,other_unclear,yes,Insufficient information to safely determine the problem,Only provides punctuation characters.
2286418,2286417.0,@AppleSupport just the ‘! ?’,"@664373 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6 https://t.co/GDrqU22YpT",apps_media_issue,no,Standard Apple Music troubleshooting can be automated,Identifies Apple Music as the affected service.
2594410,2594409.0,@AppleSupport apple music,@734663 Thank you. What issues are you experiencing with Apple Music?,ios_update_issue,no,Common update troubleshooting can be automated,Removal of screenshot/crop behavior is attributed to the latest update.
154490,154490.0,"Wait one minute @115858, I like being able to screenshot a photo and crop it at the same time. Why take that away with the latest update????",@151407 Thanks for reaching out to us. We'd be happy to look into this with you. Could you please tell us which iOS version you're running?,other_unclear,yes,Insufficient information to safely determine the problem,Only provides an iOS version.
52293,52292.0,@AppleSupport It’s 11.0.3,"@127763 Let's have you update to 11.1 per the following article, then see if the issue continues or not. https://t.co/80YRnjDFDk",ios_update_issue,no,Common update troubleshooting can be automated,Customer attributes many phone problems to iOS 11.
1876937,1876937.0,@AppleSupport why does my phone have so many problems since iOS11,@560288 We'd like to help! Join us in DM so that you can provide us with more detail about your experience on iOS 11 so far. https://t.co/GDrqU22YpT,ios_update_issue,no,Common update troubleshooting can be automated,Customer says nothing works on iOS 11.
2607636,2607636.0,@116333 fix iOS 11. NOTHING works.,"@737649 We'd love to work wit you and get everything working again, DM us which device and version of iOS 11 you're currently using and we'll get started. https://t.co/GDrqU22YpT",account_icloud_issue,yes,Account recovery requires ownership verification,Forgotten Apple ID password and failed security questions require account recovery.
1956875,1956875.0,"@AppleSupport ok, I’ve got a forgotten password. Go to use the security questions but says wrong DOB. No online chat to be found, help!","@580698 For support with your Apple ID, reach out to our Account Security support here: https://t.co/UJm15vmMM2 https://t.co/GDrqU22YpT",other_unclear,yes,The issue is outside the defined intents and needs a human clarification,Alarm timing is a device feature problem not represented by the 13-intent taxonomy.
39625,39625.0,@AppleSupport help...my alarm keeps going off between 1 and 10 minutes later than it is set for...,@124667  We want to help.  Send us a DM letting us know if you are updated to iOS 11.1 https://t.co/GDrqU22YpT,other_unclear,yes,Backup/storage troubleshooting is outside the defined intents and may require deeper support,Customer cannot free enough Mac storage to back up an iPhone before restoring it.
594623,594622.0,"@AppleSupport I just ran some diagnostics with the French Apple Support chat, and they have come to the conclusion that I need to restore my phone completely using iTunes... Now I need to free some space up on my Mac because I can’t backup my iPhone","@260877 While it's normal for any electronic device to warm up while in use, are you receiving any temperature warnings on your iPhone's screen?

Which country are you located within?

Please keep us posted in DM here: https://t.co/GDrqU22YpT",other_unclear,yes,Insufficient information to safely determine the problem,Repeats the earlier Watch-update context without describing the actual issue.
2295423,2295424.0,@666519 @AppleSupport I updated my watch last night. Maybe that triggered it. Never had problem until today !  Will update phone tonight 😏,"@666518 Let's help. To address this behavior, please check out: https://t.co/xU1AGHStV6",other_unclear,yes,Insufficient information to safely determine the problem,Generic IT glitch with no concrete symptom.
154431,154431.0,@115858 can y’all fix this I.T glitch too,@151389 We'd like to help. Let us know which device and OS you're experiencing this issue on via DM. We'll go from there. https://t.co/GDrqU22YpT,ios_update_issue,yes,OS update failure affecting startup requires deeper troubleshooting,iOS 11.1/11.1.1 is explicitly blamed for widespread restarting and Apple-logo boot loops.
2363104,2363104.0,"@AppleSupport 
Hello, there is serious problem in iOS 11.1 and iOS 11.1.1
hundreds, maybe thousands of iPhones in our region are restarting by itself and stuck on apple logo
we have to restore it with recovery or back to iOS 11.0.3 to fix it
please take it seriously and solve it","@682299 We'd be happy to look into what's causing the restarts. To start, can you tell us which iPhone you're experiencing this on?",other_unclear,no,No action is required beyond acknowledging the sentiment,Customer expresses disappointment about being an early adopter.
453977,453976.0,@AppleSupport That’s depressing that I’m an early adopter,"@222739 We understand your concern for sure! If you'd like to leave feedback about this, please do so here: https://t.co/oWzjJxkvlC 

Our engineers read all feedback received, but are unable to respond.",battery_issue,no,Standard battery troubleshooting can be automated,Battery life is explicitly worse after updates.
2492413,2492413.0,@AppleSupport can you do something to fix battery life with the new updates.   My 6s is dead in no time ever since the update,@711550 We want to help with your battery life concerns. Join us in DM with the currently installed iOS version and we'll get started from there: https://t.co/GDrqU22YpT,account_icloud_issue,yes,Unexpected FaceTime routing may require account/contact investigation,FaceTime connected to an unrecognized person twice.
2647170,2647170.0,"Hello @AppleSupport I’m using FaceTime to connect to a friend (I’ve spoken to my friend on a voice call to let them know), but it connected to someone I didn’t recognise, this happened twice tonight. Can you help?",@746857 We've received your DM. Look forward to our reply from there.,other_unclear,yes,Insufficient information to safely determine the problem,'Get that' has no standalone meaning without the missing prior context.
1646719,1646720.0,@AppleSupport why am I get that even though I updated my phone,@503147 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,apps_media_issue,no,Standard podcast/app troubleshooting can be automated,Podcast releases are delayed or unavailable in the app.
2677917,2677917.0,@115858 hey why does the podcast app suck now.  I can’t listen to most of my cast until days after it is released. What’s good?,@753615 We're here to help. DM us which device you are using the Podcast app on to get started. https://t.co/GDrqU22YpT,other_unclear,yes,Insufficient information to safely determine the problem,Says prior advice did not help but provides no new details.
1002750,1002749.0,"@AppleSupport Yeah, that didn’t help",@357356 Which model do you have and what's the exact iOS version installed? Tried any other steps since this started? https://t.co/GDrqU22YpT,battery_issue,no,Standard battery troubleshooting can be automated,Battery drops rapidly from 100% to 65%.
2713231,2713231.0,@115858 yo we need to talk... tell me how the update made my battery go from 100% to 65% in 5 minutes ?? #fixyourself,"@761700  Hello. Thanks for connecting with us here. If you just updated, did you allow the apps to complete updates as well?  Did you update the device while plugged in? Send us a DM. https://t.co/GDrqU22YpT",other_unclear,no,No escalation is required for a support-status update,Customer only reports that a DM was sent.
821137,821137.0,"@AppleSupport  Hi, I sent you a DM.",@315590 We've received your DM. Be on the lookout for our response there.,charging_issue,no,Standard charging troubleshooting can be automated,iPad will not charge.
1850504,1850504.0,tfw - your iPad won’t charge &amp; the @115858 store genius bar has no appts. until tomorrow. https://t.co/3KhXdun0Ft,"@553975 We'd love to take a look!  To begin, have you tried the steps listed here: https://t.co/EqJrZrFL9k",other_unclear,yes,Insufficient information to safely determine the problem,Only gives an iOS version.
285709,285708.0,@AppleSupport iOS 11.0.2,@184063 Do you have any pending updates available in the App Store? Let us know in DM. https://t.co/GDrqU22YpT,other_unclear,yes,Potential fraud/consumer-protection complaint needs human review,Accusation concerning treatment of senior citizens is not a defined technical intent.
1203527,1203527.0,Stop cheating senior citizens @AppleSupport @116333 https://t.co/hs4oPqRowp,"@402737 We want to be of assistance. Would you join us in DM, and tell us a bit more about this situation? https://t.co/GDrqU22YpT",performance_freezing,yes,Device is broadly unresponsive and may require deeper troubleshooting,iPhone X will not let the user do anything and requires voice control.
1748055,1748055.0,@AppleSupport see the “A” Well there is something wrong w/it. My daughters iPhone X won’t let her do anything. She had 2 use “Hey Siri.” Hlp https://t.co/MRYo0za4Y2,@481442 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,other_unclear,yes,Insufficient information to safely determine the problem,"Only says the update has been applied, without describing the issue."
873962,873961.0,@AppleSupport No i am not and i have updated to ios 11.0.3,@327483 Does it feel as if the button is broken or does it feel normal?,display_touch_issue,no,Standard keyboard or text-input troubleshooting can be automated,Recurring I-character keyboard bug.
460849,460849.0,@115858 fix this!!!! I️ I️ I️,@224483 Thanks for reaching out. We'd like to know more to assist. Which software version are you having this issue on? Let us know and we'll continue.,other_unclear,yes,Insufficient information to safely determine the problem,Only provides a link without context.
1715635,1715635.0,@AppleSupport @115858 https://t.co/yiiz8J1wp0,@519577 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,other_unclear,no,No action is required for a simple confirmation,Customer says yes.
11632,11631.0,@AppleSupport Yes,@118243 Please send us a DM and we will go from there. https://t.co/GDrqU22YpT,display_touch_issue,no,Standard keyboard or text-input troubleshooting can be automated,Recurring I-character keyboard bug.
2015828,2015828.0,Dear @115858 FIX THIS SHIT I️,@596102 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,how_to_feature_question,no,How-to questions are suitable for automation,Asks how to remove the Dock.
2674185,2674185.0,@AppleSupport please make this dock go away. Soon. https://t.co/EUjUNsHL58,@752820 We are here to help whenever possible. DM where you are seeing this on your device. https://t.co/GDrqU22YpT,apps_media_issue,no,Standard app troubleshooting can be automated,Cannot download Instagram or Snapchat.
622625,622625.0,Why can't i download instagram or Snapchat on my iPad ?!!!! @115858,@267779 Thanks for reaching out to us about this. What’s happening when you try to download these apps? Are you getting an error message? Or are you unable to find them in the App Store?,apps_media_issue,no,Standard Maps troubleshooting can be automated,Requests an update to Apple Maps for the Queensferry Bridge.
252866,252866.0,@115858  can you please update your maps for the new queensferry bridge. I’m nae in the middle of the north sea and my phone is yellin @ me. https://t.co/nV6JQN01fQ,"@176091 Thanks for reaching out. We'd like to have you ""Report an issue in Maps"" following the steps here:  https://t.co/jiMIBQw7go",other_unclear,yes,Insufficient information to safely determine the problem,Only identifies an Apple Watch model.
746994,746995.0,@AppleSupport Apple Watch series 3 Cellular.,@298579 We're here for you. Here is a list of the carriers who provide service for the Apple Watch Series 3: https://t.co/WuqDNKIme1,other_unclear,yes,Insufficient information to safely determine the problem,Vague complaint with no identifiable technical problem.
2445278,2445278.0,What’s wrong with this boosheet I️ @115858,"@701071 We can certainly take a look into this issue and work towards a resolution. To help guide us through the right steps, may we get the device and iOS version you're seeing this on?",network_connectivity,no,Standard connectivity troubleshooting can be automated,Bluetooth connection repeatedly disconnects.
